target,drug,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,M1,M2,M3,M4,M5,M6,M7,M8,M9,dgidb
ACADM,allopurinol,0,0,0,0,0,0,1,0,0,1,1,0.00237774187211197,0,0,0,0,0,0.0695475335056908,0.858917119896095,0.000258692899616562,0
ACADS,allopurinol,0,0,0,0,0,0,1,0,1,0,0,0.00234055020483944,0,0,0,0,0,0.0624041751771971,0.333793327380469,0.00103262534484777,0
ACE,allopurinol,0,0,0,0,0,0,1,0,1,1,0,0.00182316106850678,0,0,0.0311259816808484,0,0,0.098758850053285,0.745515058040425,0.00093888169203044,0
ACE2,allopurinol,0,0,0,0,0,0,1,0,1,1,1,0.00260157328046194,0,0,0,0,0,0.247687728336416,0.337933273804692,3.40066613089027e-05,0
ACHE,allopurinol,0,0,0,0,0,0,1,1,0,0,0,0.0101941591670257,0,0,0,0,0,0.154134140395189,0.132234759314879,0.000534150184530492,0
ACOX3,allopurinol,0,0,0,0,0,0,1,1,0,0,1,0.0044262051244657,0,0,0.0311259816808484,0,0,0.227477772189455,0.219741862164137,0.000239748616643575,0
ACPP,allopurinol,0,0,0,0,0,0,1,1,0,1,0,0.0286369495648602,0,0,0,0,0,0.393662315434272,0.842276158779122,8.34725847891483e-05,0
ACSL4,allopurinol,0,0,0,0,0,0,1,1,0,1,1,0.0126125646998672,0,0,0,0,0,0.12042439320355,0.6809805990746,8.82502069462691e-05,0
ACTA1,allopurinol,0,0,0,0,0,0,1,1,1,0,0,0.0154241958597111,0,0,0.0311259816808484,0,0,0.410146761302706,0.411153502719377,1.16513535045911e-09,0
ACTR3,allopurinol,0,0,0,0,0,0,1,1,1,0,1,0.0389701154289942,0,0,0.0311259816808484,0,0,0.239275276648803,0.280298725545905,1.53324057559937e-05,0
ACVR1,allopurinol,0,0,0,0,0,0,1,1,1,1,0,0.00018772759840624,0,0,0,0,0,0.12589775779335,0.442811916551668,6.15196487129796e-05,0
ACVR1B,allopurinol,0,0,0,0,0,0,1,1,1,1,1,0.00802264751839177,0,0,0,0,0,0.187747053158569,0.463917525773196,0.00019437215306043,0
ACVR2A,allopurinol,0,0,0,0,0,1,0,0,0,0,1,0.383595032178386,0,0,0.0289439164451382,0,0,0.119256203056618,0.847390210244338,0.000227848861245924,0
ACVR2B,allopurinol,0,0,0,0,0,1,0,0,0,1,0,0.00158953479908112,0,0,0.0231232786380814,0,0,0.0863073160806986,0.86890169656628,0.000272546815569392,0
ACVRL1,allopurinol,0,0,0,0,0,1,0,0,0,1,1,0.00463804583353356,0,0,0,0,0,0.0694178573158615,0.414562870362854,3.54963184426231e-05,0
ADA,allopurinol,0,0,0,0,0,1,0,0,1,0,1,0.00409719520916159,0,0,0,0,0,0.281554305602223,0.759396054874584,0.000480484670757876,0
ADAM10,allopurinol,0,0,0,0,0,1,0,0,1,1,0,0.00212980093800916,0,0,0.0311259816808484,0,0,0.140220801639164,0.123792515626268,7.41174733341864e-05,0
ADAM9,allopurinol,0,0,0,0,0,1,0,0,1,1,1,0.0153415568328745,0,0,0,0,0,0.0338687526996112,0.270151798035555,0.000402025621115685,0
ADCK2,allopurinol,0,0,0,0,0,1,0,1,0,0,1,0.00422976660166571,0,0,0,0,0,0.239273313495634,0.299699650945694,5.17861162209298e-05,0
ADCY1,allopurinol,0,0,0,0,0,1,0,1,0,1,1,0.0267812521856374,0,0,0.0311259816808484,0,0,0.186185537110102,0.927266823605812,0.000261243691004632,0
ADCYAP1,allopurinol,0,0,0,0,0,1,0,1,1,0,0,0.00683973437779781,0,0,0,0,0,0.0329677713583875,0.43997077684877,0.000644932122936598,0
ADH1A,allopurinol,0,0,0,0,0,1,0,1,1,0,1,0.00138290104351685,0,0,0,0,0,0.12134938201682,0.476418540465947,0.000254187181348754,0
ADH1B,allopurinol,0,0,0,0,0,1,0,1,1,1,0,0.187540515022117,0,0,0,0,0,0.233841914192943,0.781638119977271,3.26844172255048e-06,0
ADH1C,allopurinol,0,0,0,0,0,1,0,1,1,1,1,0.00866860586855154,0,0,0,0,0,0.0870089046854985,0.265524799090835,5.02218660527274e-05,0
ADH5,allopurinol,0,0,0,0,0,1,1,0,0,0,1,0.01916518301843,0,0,0,0,0,0.17708992435051,0.147739264550694,0.000108286941612077,0
ADK,allopurinol,0,0,0,0,0,1,1,0,0,1,0,0.00730038063639334,0,0,0,0,0,0.19142132256568,0.783018102118679,4.75918597349906e-05,0
ADORA1,allopurinol,0,0,0,0,0,1,1,0,0,1,1,0.00835602664250785,0,0,0.0224624414110118,0,0,0.0141565338211901,0.716210731390535,0.000264163819361067,0
ADORA2B,allopurinol,0,0,0,0,0,1,1,0,1,0,1,0.0191001622976774,0,0,0.0295421881843772,0,0,0.213269958759619,0.786914522282653,3.86508514919989e-05,0
ADORA3,allopurinol,0,0,0,0,0,1,1,0,1,1,0,0.0328953682936594,0,0,0.00380721667439203,0,0,0.0360260083774519,0.233298157317964,4.4839347577654e-05,0
ADRA1A,allopurinol,0,0,0,0,0,1,1,0,1,1,1,0.00014995065110773,0,0,0,0,0,0.115491793941781,0.476580891306113,0.000119841736048216,0
ADRA1B,allopurinol,0,0,0,0,0,1,1,1,0,0,0,0.00010852846485034,0,0,0.0311259816808484,0,0,0.160169263827104,0.609952106502151,0.000509224918065617,0
ADRA1D,allopurinol,0,0,0,0,0,1,1,1,0,0,1,0.00017720654455668,0,0,0,0,0,0.0729881733045488,0.0909976459128176,0.000278073809939156,0
ADRA2A,allopurinol,0,0,0,0,0,1,1,1,0,1,0,0.00018889927539548,0,0,0.0264519807025499,0,0,0.121159637207474,0.661417322834646,0.000313739958522243,0
ADRA2B,allopurinol,0,0,0,0,0,1,1,1,0,1,1,0.0233607284398958,0,0,0,0,0,0.0763203383937003,0.229239386313824,0.0001000915733542,0
ADRA2C,allopurinol,0,0,0,0,0,1,1,1,1,0,0,0.0692526483780266,0,0,0,0,0,0.0592055399368705,0.341910869388749,0.00013575179197137,0
ADRB1,allopurinol,0,0,0,0,0,1,1,1,1,0,1,0.00290519373910008,0,0,0.0311259816808484,0,0,0.152983987654389,0.0530887247341505,9.48070497290046e-05,0
ADRB2,allopurinol,0,0,0,0,0,1,1,1,1,1,0,5.73663171389294e-05,0,0,0.0301287747253808,0,0,0.193560420398891,0.00284113970289796,4.14174543127173e-06,0
ADRB3,allopurinol,0,0,0,0,0,1,1,1,1,1,1,0.00022650646956576,0,0,0.0297637492398253,0,0,0.123164781565554,0.0673755986687231,0.000175890060436163,0
AGTR1,allopurinol,0,0,0,0,1,0,0,0,0,1,0,0.0186854016432236,0,0,0,0,0,0.215989600104896,0.349947235976946,5.76134044882665e-05,0
AGTR2,allopurinol,0,0,0,0,1,0,0,0,0,1,1,0.00880389389157292,0,0,0.00299093989829046,0,0,0.0782243601806543,0.343128500689991,0.000502846516586073,0
AGXT,allopurinol,0,0,0,0,1,0,0,0,1,0,0,0.00068454183857077,0,0,0,0,0,0.00353342177519634,0.608896826041075,0.000206792573106108,0
AHCY,allopurinol,0,0,0,0,1,0,0,0,1,0,1,0.00336788384619576,0,0,0,0,0,0.0565191779720897,0.863868820521146,4.66687201126634e-05,0
AIFM1,allopurinol,0,0,0,0,1,0,0,0,1,1,0,0.00409830160552759,0,0,0,0,0,0.167814606756973,0.125497199448007,0.00025721582384311,0
AIMP1,allopurinol,0,0,0,0,1,0,0,0,1,1,1,0.0158295265083138,0,0,0,0,0,0.150021185201594,0.685932299699651,1.19010540827647e-05,0
AK1,allopurinol,0,0,0,0,1,0,0,1,0,0,0,0.0023267816919613,0,0,0,0,0,0.0114820406566032,0.314473577400763,0.000163339223829876,0
AK2,allopurinol,0,0,0,0,1,0,0,1,0,0,1,0.00080695632265944,0,0,0,0,0,0.0714740587756844,0.715155450929459,1.44848100271126e-05,0
AKR1B1,allopurinol,0,0,0,0,1,0,0,1,0,1,0,0.013649645957357,0,0,0,0,0,0.105606643424808,0.798847309034824,0.000355815040614698,0
AKR1C1,allopurinol,0,0,0,0,1,0,0,1,0,1,1,0.0970092013688235,0,0,0,0,0,0.588048277324201,0.910057634548259,0.000463242997797664,0
AKR1C2,allopurinol,0,0,0,0,1,0,0,1,1,0,0,0.0592934203859118,0,0,0,0,0,0.671456971445792,0.724003571718484,0.000157439627738881,0
AKR1C3,allopurinol,0,0,0,0,1,0,0,1,1,0,1,0.158242441347497,0,0,0,0,0,0.333285095541689,0.91996103579836,0.000564468665579224,0
AKT1,allopurinol,0,0,0,0,1,0,0,1,1,1,0,0.00382390474255622,0,0,0,0,0,0.136141908011548,0.896014286873935,0.000342439437128316,0
AKT2,allopurinol,0,0,0,0,1,0,0,1,1,1,1,0.00165827340105076,0,0,0,0,0,0.125117092162498,0.272587060638039,0.00019358367306017,0
AKT3,allopurinol,0,0,0,0,1,0,1,0,0,0,0,0.0470074551062371,0,0,0.0311259816808484,0,0,0.0252839469906958,0.783748680899424,3.43270469836429e-06,0
ALAD,allopurinol,0,0,0,0,1,0,1,0,0,0,1,0.0183571658509521,0,0,0,0,0,0.164384981668954,0.898287198636253,8.92218719622315e-05,0
ALB,allopurinol,0,0,0,0,1,0,1,0,0,1,0,0.0170907129272586,0,0,0.0248244804521541,0,0,0.212422249783935,0.109586817111779,8.7060787519677e-06,0
ALDH2,allopurinol,0,0,0,0,1,0,1,0,0,1,1,0.00919159839190524,0,0,0,0,0,0.421091814134221,0.718240116892605,0.000952346323384902,0
ALDH5A1,allopurinol,0,0,0,0,1,0,1,0,1,0,0,0.0245528408979282,0,0,0,0,0,0.17680868071894,0.217631301241984,4.04020245272262e-05,0
ALDOA,allopurinol,0,0,0,0,1,0,1,0,1,0,1,0.00032890108330153,0,0,0,0,0,0.246195440039115,0.154720350677815,0.00021126850328582,0
ALK,allopurinol,0,0,0,0,1,0,1,0,1,1,0,0.060081839760737,0,0,0,0,0,0.00458449811938353,0.165191979868496,3.15205190718698e-06,0
ALOX15,allopurinol,0,0,0,0,1,0,1,0,1,1,1,0.0150901921581748,0,0,0,0,0,0.302322612523469,0.955515869794626,0.000201725369317628,0
ALOX5,allopurinol,0,0,0,0,1,0,1,1,0,0,0,0.0678750797878617,0,0,0,0,0,0.138380566278364,0.473496225342966,5.30898693177648e-06,0
ALOX5AP,allopurinol,0,0,0,0,1,0,1,1,0,0,1,0.384011522523925,0,0,0,0,0,0.4196973586087,0.72359769461807,0.000291508341649816,0
ALPPL2,allopurinol,0,0,0,0,1,0,1,1,0,1,0,0.0993414559796809,0,0,0.0310781154166967,0,0,0.0879357048843316,0.342722623589577,0.00035808290804864,0
AMBP,allopurinol,0,0,0,0,1,0,1,1,0,1,1,0.00206677351913341,0,0,0,0,0,0.198975016972163,0.978650864518224,0.000716290613427884,0
AMD1,allopurinol,0,0,0,0,1,0,1,1,1,0,0,0.169915624226657,0,0,0,0,0,0.512631417603217,0.481694942771329,0.000439895984431484,0
AMHR2,allopurinol,0,0,0,0,1,0,1,1,1,0,1,0.0372167974739532,0,0,0.0287079972585309,0,0,0.0571720560477899,0.0428606218037178,0.000292911176323235,0
AMT,allopurinol,0,0,0,0,1,0,1,1,1,1,0,0.0002129432887565,0,0,0.0129351768359834,0,0,0.104826429130464,0.0974105040993587,2.16166555669994e-07,0
ANPEP,allopurinol,0,0,0,0,1,1,0,0,0,0,1,0.00461370515076231,0,0,0.0301287747253808,0,0,0.179229641080857,0.710447276564656,0.000254218449453383,0
ANXA1,allopurinol,0,0,0,0,1,1,0,0,0,1,0,0.10659543137183,0,0,0,0,0,0.262672267050611,0.58527477879698,7.00435864480616e-06,0
ANXA3,allopurinol,0,0,0,0,1,1,0,0,0,1,1,0.0309237090588884,0,0,0,0,0,0.342644996942359,0.600373406932381,0.000139575611433478,0
AOC3,allopurinol,0,0,0,0,1,1,0,0,1,0,0,0.0231540735775933,0,0,0,0,0,0.0158273768397721,0.352626024839679,2.95968462006101e-07,0
AP1G1,allopurinol,0,0,0,0,1,1,0,0,1,0,1,0.0659108406795428,0,0,0,0,0,0.105733095380052,0.96550044646481,0.00159692165732629,0
APCS,allopurinol,0,0,0,0,1,1,0,0,1,1,0,0.0078639422621534,0,0,0,0,0,0.0763709978353277,0.701923857455962,4.2081689786543e-06,0
APOH,allopurinol,0,0,0,0,1,1,0,0,1,1,1,0.00845422214941004,0,0,0,0,0,0.111487965904572,0.42576507833428,7.38984260858948e-06,0
APP,allopurinol,0,0,0,0,1,1,0,1,0,0,0,0.00178144645107658,1,0.22157660659325,0.545307681942442,1,0,0.552273584883033,0.321454663527884,0.000587954051485156,0
APRT,allopurinol,0,0,0,0,1,1,0,1,0,0,1,0.00970877396700221,0,0,0,0,0,0.0919351658574783,0.227047649971589,1.39990813726263e-05,0
AQP1,allopurinol,0,0,0,0,1,1,0,1,0,1,0,0.00984105408912104,0,0,0.00977520638222142,0,0,0.123352974217773,0.446464810455394,9.84283133617772e-05,0
AR,allopurinol,0,0,0,0,1,1,0,1,0,1,1,0.0215218836358514,0,0,0.0311259816808484,0,0,0.0617068403925484,0.897962496955922,0.000264062458299164,0
ARAF,allopurinol,0,0,0,0,1,1,0,1,1,0,0,0.0665646987875512,0,0,0.0301287747253808,0,0,0.0970003603710896,0.245961522850881,0.000491299406804147,0
ARG1,allopurinol,0,0,0,0,1,1,0,1,1,0,1,0.0148689763158918,0,0,0.0311259816808484,0,0,0.391632203176527,0.0620180209432584,6.48791984083508e-05,0
ARG2,allopurinol,0,0,0,0,1,1,0,1,1,1,0,0.0649616370063269,0,0,0.0311259816808484,0,0,0.748949803780423,0.57309846578456,3.31674160965326e-05,0
ARL5A,allopurinol,0,0,0,0,1,1,0,1,1,1,1,0.0881537153258411,0,0,0.0185781202921057,0,0,0.0367623077326063,0.240279243445085,3.61098517139689e-06,0
ARSA,allopurinol,0,0,0,0,1,1,1,0,0,0,0,6.46045192345318e-05,0,0,0,0,0,0.0624054841892447,0.8050978163812,0.00308064212815106,0
ART1,allopurinol,0,0,0,0,1,1,1,0,0,0,1,0.0014169279969051,0,0,0,0,0,0.0649809018978247,0.237925156262684,1.80955362330248e-05,0
ASL,allopurinol,0,0,0,0,1,1,1,0,0,1,0,0.0118065259006363,0,0,0,0,0,0.0913373504555937,0.998214140758178,2.1874571375221e-05,0
ASS1,allopurinol,0,0,0,0,1,1,1,0,0,1,1,0.351419340387762,0,0,0,0,0,0.625500777178927,0.571556132802987,3.70151357756299e-05,0
ATIC,allopurinol,0,0,0,0,1,1,1,0,1,0,0,0.0196319637108248,0,0,0,0,0,0.185046997117605,0.441026057309847,0.000275578457682263,0
ATP1A1,allopurinol,0,0,0,0,1,1,1,0,1,0,1,0.0053987163822993,0,0,0,0,0,0.150037973834772,0.984901371864599,0.000536602590725835,0
ATP4A,allopurinol,0,0,0,0,1,1,1,0,1,1,0,0.00378332748580819,0,0,0,0,0,0.0634485884142538,0.325594609952106,2.50625096695349e-05,0
ATP5D,allopurinol,0,0,0,0,1,1,1,0,1,1,1,0.0595655730009769,0,0,0.0311259816808484,0,0,0.0281361065295536,0.471791541521227,3.28710998365974e-05,0
AURKA,allopurinol,0,0,0,0,1,1,1,1,0,0,0,0.0931321567733016,0.126455461120396,0,0.0311259816808484,0,0,0.343580240890074,0.894471953892361,6.98854856416289e-05,0
AURKB,allopurinol,0,0,0,0,1,1,1,1,0,0,1,0.00193705117773306,0,0,0.0311259816808484,0,0,0.129208700756126,0.481776118191412,0.00148709075541007,0
AURKC,allopurinol,0,0,0,0,1,1,1,1,0,1,0,7.52654341702297e-07,0,0,0.0311259816808484,0,0,0.123781500330896,0.339800308466596,8.94028356252787e-06,0
AVPR1A,allopurinol,0,0,0,0,1,1,1,1,0,1,1,0.0003971250898021,0,0,0.0301287747253808,0,0,0.0960002513461929,0.0439159022647942,0.00019134198785789,0
AVPR1B,allopurinol,0,0,0,0,1,1,1,1,1,0,0,0.0158620420682718,0,0,0.0291164506249067,0,0,0.0307536107443612,0.0195632762399545,9.1963361267963e-06,0
AVPR2,allopurinol,0,0,0,0,1,1,1,1,1,0,1,0.00127393678388591,0,0,0.00134412969514308,0,0,0.0312119226832716,0.176556538680088,0.00109669057766289,0
B3GAT1,allopurinol,0,0,0,0,1,1,1,1,1,1,0,0.132824434299683,0,0,0,0,0,0.0940551020822537,0.479016153908596,1.34756612146133e-05,0
B3GAT3,allopurinol,0,0,0,0,1,1,1,1,1,1,1,0.0567868482702491,0,0,0,0,0,0.0295839672976649,0.0564169169575452,1.27129698530812e-06,0
B4GALT1,allopurinol,0,0,0,1,0,0,0,0,0,0,0,0.00021498799359993,0,0,0,0,0,0.166842665158149,0.99188245799172,9.23868648676401e-05,0
BACE1,allopurinol,0,0,0,1,0,0,0,0,0,0,1,0.00179974772761746,0,0,0.0311259816808484,0,0,0.0931735140235121,0.806153096842276,5.49960448013406e-05,0
BAD,allopurinol,0,0,0,1,0,0,0,0,0,1,0,0.147496920849851,0,0,0,0,0,0.171494718786793,0.0434288497442974,0.000575592761970293,0
BCAT1,allopurinol,0,0,0,1,0,0,0,0,0,1,1,0.0212453118040304,0,0,0,0,0,0.432398172913008,0.721324782855751,0.000128871755306649,0
BCAT2,allopurinol,0,0,0,1,0,0,0,0,1,0,0,0.0171772414098938,0,0,0,0,0,0.117215897570704,0.203182076467246,0.000131712874193638,0
BCHE,allopurinol,0,0,0,1,0,0,0,0,1,0,1,0.0163270158915335,0,0,0,0,0,0.0330776792103172,0.716778959331115,4.64771983146591e-07,0
BCKDK,allopurinol,0,0,0,1,0,0,0,0,1,1,0,7.26407873287955e-05,0,0,0,0,0,0.0202702461033147,0.898936601996915,2.14758470325913e-05,0
BCL2,allopurinol,0,0,0,1,0,0,0,0,1,1,1,0.0444346878621636,0,0,0,0,0,0.061033958458509,0.394674892442568,0.00598975883367412,0
BCL2L1,allopurinol,0,0,0,1,0,0,0,1,0,0,0,0.210562173068124,0,0,0.0311259816808484,0,0,0.518285833799236,0.586086532997808,2.87331868706082e-05,0
BCR,allopurinol,0,0,0,1,0,0,0,1,0,0,1,0.00760368859678803,0,0,0.0301287747253808,0,0,0.124441386499126,0.419108693887491,1.05639801195724e-05,0
BHMT,allopurinol,0,0,0,1,0,0,0,1,1,0,0,0.0573547880259367,0,0,0,0,0,0.0883005089041696,0.666856075980193,3.91674736510559e-06,0
BHMT2,allopurinol,0,0,0,1,0,0,0,1,1,0,1,0.00018803485935705,0,0,0,0,0,0.0469263171869956,0.230700543875315,6.05364708280043e-05,0
BIRC5,allopurinol,0,0,0,1,0,0,0,1,1,1,0,0.00639678536398137,0,0,0.0311259816808484,0,0,0.318273575880017,0.600779284032795,0.00058044398830915,0
BLK,allopurinol,0,0,0,1,0,0,0,1,1,1,1,0.00698018514488774,0,0,0.0236996481359935,0,0,0.00060574495616318,0.40806883675623,0.000101780587471457,0
BLVRB,allopurinol,0,0,0,1,0,0,1,0,0,0,0,0.0253842335063494,0,0,0,0,0,0.291808963576926,0.863300592580567,4.48596082355342e-05,0
BMP2K,allopurinol,0,0,0,1,0,0,1,0,0,0,1,0.201427820363404,0,0,0.0311259816808484,0,0,0.29924082152716,0.480071434369673,2.62140628186809e-05,0
BMPR1A,allopurinol,0,0,0,1,0,0,1,0,0,1,0,0.0220896852755691,0,0,0.0269050661559744,0,0,0.192134149650304,0.605812160077928,4.64666246642614e-05,0
BMPR1B,allopurinol,0,0,0,1,0,0,1,0,0,1,1,0.0397893711017877,0,0,0,0,0,0.168942318515265,0.502719376572774,0.000227819283817938,0
BMPR2,allopurinol,0,0,0,1,0,0,1,0,1,0,0,0.074384158915568,0,0,0.0311259816808484,0,0,0.201493741425081,0.207403198311551,1.59908131485439e-05,0
BMX,allopurinol,0,0,0,1,0,0,1,0,1,0,1,0.0412930190706151,0,0,0.0311259816808484,0,0,0.37111543865756,0.736098709310821,4.98334209512624e-05,0
BRAF,allopurinol,0,0,0,1,0,0,1,0,1,1,0,0.12206440217198,0,0,0.0311259816808484,0,0,0.081089261275134,0.217956002922315,1.81783022162831e-05,0
BST1,allopurinol,0,0,0,1,0,0,1,0,1,1,1,0.377451537330508,0,0,0,0,0,0.0951561439914144,0.0911599967529832,3.37644317287585e-05,0
BTK,allopurinol,0,0,0,1,0,0,1,1,0,0,0,0.00449240780133129,0,0,0,0,0,0.17673932546789,0.0155856806558974,8.03638176345626e-05,0
BUB1,allopurinol,0,0,0,1,0,0,1,1,0,0,1,9.07423789334003e-05,0,0,0.0311259816808484,0,0,0.228289260916262,0.696728630570663,4.73767083197899e-05,0
C1S,allopurinol,0,0,0,1,0,0,1,1,0,1,1,0.00610054648906203,0,0,0,0,0,0.211159279246787,0.667505479340856,2.36506225163086e-05,0
C5,allopurinol,0,0,0,1,0,0,1,1,1,0,0,0.00087965426213221,0,0,0.0311259816808484,0,0,0.272606532143897,0.729036447763617,0.000102836195806061,0
CA1,allopurinol,0,0,0,1,0,0,1,1,1,0,1,7.65187194129137e-05,0,0,0,0,0,0.0862386464558929,0.282977514408637,0.00027995396312962,0
CA12,allopurinol,0,0,0,1,0,0,1,1,1,1,0,0.0114612458953532,0,0,0,0,0,0.335022773156837,0.332819222339476,1.63277652335591e-05,0
CA2,allopurinol,0,0,0,1,0,0,1,1,1,1,1,0.00416031801023903,0,0,0,0,0,0.157797889269502,0.2430392077279,0.000105774568753964,0
CA4,allopurinol,0,0,0,1,0,1,0,0,0,0,0,0.00334826519791104,0,0,0,0,0,0.182130274548934,0.361717671888952,1.41920843905435e-06,0
CA9,allopurinol,0,0,0,1,0,1,0,0,0,0,1,0.0455818701273283,0,0,0,0,0,0.100528808440668,0.217387774981736,6.13761327062491e-07,0
CACNA1A,allopurinol,0,0,0,1,0,1,0,0,0,1,0,0.00806256994869355,0,0,0,0,0,0.0128820218300873,0.165273155288579,7.19623035081304e-05,0
CACNA1B,allopurinol,0,0,0,1,0,1,0,0,0,1,1,0.0164816224003505,0,0,0,0,0,0.0360764920789584,0.258381362123549,0.00100095743966905,0
CACNA1C,allopurinol,0,0,0,1,0,1,0,0,1,0,0,0.00410585978358472,0,0,0.0300004038730353,0,0,0.115782883142905,0.974429742673918,0.000648755861143451,0
CACNA1D,allopurinol,0,0,0,1,0,1,0,0,1,0,1,0.00639329638959186,0,0,0.0256817851914087,0,0,0.0694786388550171,0.189301079633087,0.000292710969673192,0
CACNA1G,allopurinol,0,0,0,1,0,1,0,0,1,1,0,0.0341355468120453,0,0,0,0,0,0.225528811878275,0.273074113158536,7.96321357526667e-05,0
CACNA1H,allopurinol,0,0,0,1,0,1,0,0,1,1,1,0.0359316896762161,0,0,0,0,0,0.0204156091878971,0.463105771572368,6.54186892757575e-05,0
CACNA1I,allopurinol,0,0,0,1,0,1,0,1,0,0,0,0.014998814492021,0,0,0,0,0,0.103791332723395,0.492572449062424,8.57218485687816e-08,0
CACNA1S,allopurinol,0,0,0,1,0,1,0,1,0,0,1,0.0119154618285534,0,0,0,0,0,0.0826596698031515,0.296452634142382,6.04565716403802e-05,0
CACNA2D2,allopurinol,0,0,0,1,0,1,0,1,0,1,0,0.00345016231442365,0,0,0,0,0,0.150069433970122,0.567740888059096,0.000270562577421068,0
CACNB4,allopurinol,0,0,0,1,0,1,0,1,0,1,1,0.00057798107831121,0,0,0,0,0,0.0880362907452382,0.283302216088968,6.29289604835268e-05,0
CACNG1,allopurinol,0,0,0,1,0,1,0,1,1,0,0,0.0472493082105949,0,0,0,0,0,0.0236033469102641,0.0349054306356035,8.72000930080258e-05,0
CAD,allopurinol,0,0,0,1,0,1,0,1,1,0,1,0.0264666030595266,0,0,0,0,0,0.155006616247708,0.185079957788782,0.000142499554711942,0
CALCA,allopurinol,0,0,0,1,0,1,0,1,1,1,0,0.00229084184103384,0,0,0,0,0,0.0179995405915749,0.879454501177044,4.66950502122524e-05,0
CALCB,allopurinol,0,0,0,1,0,1,0,1,1,1,1,0.0305064486520133,0,0,0,0,0,0.0928281773198868,0.879616852017209,0.000601325780577707,0
CALCR,allopurinol,0,0,0,1,0,1,1,0,0,0,0,0.00566164113549494,0,0,0.0311259816808484,0,0,0.25518317821532,0.554590470005682,6.53714391633114e-05,0
CAMK1,allopurinol,0,0,0,1,0,1,1,0,0,1,0,0.0163310291235815,0,0,0.0311259816808484,0,0,0.0522269820949079,0.458965825148145,8.00555730378754e-05,0
CAMK1G,allopurinol,0,0,0,1,0,1,1,0,0,1,1,0.0054358886596073,0,0,0.0300004038730353,0,0,0.0834168647839022,0.0508158129718321,6.7206558056126e-05,0
CAMK2A,allopurinol,0,0,0,1,0,1,1,0,1,0,0,0.0342474739869637,0,0,0,0,0,0.0133841403120086,0.543875314554753,7.00280662218999e-07,0
CAMK2B,allopurinol,0,0,0,1,0,1,1,0,1,0,1,0.00445606700116611,0,0,0,0,0,0.0449060156447085,0.0323889926130368,3.04206546357311e-05,0
